Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"79,999","52,990",33% off,4.3,"1,820 Ratings & 133 Reviews",Acer
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Ho...","74,990","45,990",38% off,4.1,135 Ratings & 5 Reviews,ASUS
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,"54,990","32,990",40% off,4.3,"12,142 Ratings & 950 Reviews",ASUS
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,"1,37,988","1,14,990",16% off,,,SAMSUNG
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"49,999","31,990",36% off,4.2,"1,192 Ratings & 108 Reviews",Acer
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,"56,260","41,370",26% off,4.2,"6,839 Ratings & 564 Reviews",HP
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","54,990","32,700",40% off,4.3,"12,142 Ratings & 950 Reviews",ASUS
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/1 TB SSD/Windows 11 ...,"1,87,190","1,55,990",16% off,,,SAMSUNG
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,"32,990","14,990",54% off,3.8,"2,233 Ratings & 201 Reviews",ASUS
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,"50,990","29,990",41% off,4.2,"4,753 Ratings & 461 Reviews",ASUS
Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,"63,990","49,990",21% off,4.2,351 Ratings & 37 Reviews,Acer
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,"31,990","25,799",19% off,4.1,273 Ratings & 26 Reviews,HP
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U - (8 GB/512 GB SSD/Windows 11 Home/1 GB Graphics) V15 G...,"39,990","27,490",31% off,3.9,42 Ratings & 4 Reviews,Lenovo
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS Th...,"44,990","30,990",31% off,,,ASUS
DELL Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,"49,149","36,990",24% off,4.2,69 Ratings & 10 Reviews,DELL
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Pro) Latitude 344...,"70,565","30,840",56% off,3.9,37 Ratings & 3 Reviews,DELL
Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light...,"56,490","38,990",30% off,4.2,"4,227 Ratings & 376 Reviews",Lenovo
DELL Inspiron 5630 Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5630 Lap...,"77,768","63,490",18% off,5.0,7 Ratings & 2 Reviews,DELL
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,"1,01,090","77,990",22% off,4.1,293 Ratings & 34 Reviews,Lenovo
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"49,999","31,990",36% off,4.2,"1,192 Ratings & 108 Reviews",Acer
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"68,323","36,900",45% off,4.0,235 Ratings & 25 Reviews,Acer
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,"32,990","13,990",57% off,3.8,"2,583 Ratings & 227 Reviews",ASUS
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Grap...,"1,42,999","1,14,990",19% off,4.4,72 Ratings & 10 Reviews,Acer
HP Pavilion AI PC Intel Core Ultra 7 155U - (16 GB/512 GB SSD/Windows 11 Home) 16-af0028TU Thin and Li...,"1,04,048","84,490",18% off,,,HP
