Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company,Total Ratings,Total Reviews Extracted
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...,54990.0,36990.0,32,4.3,"12,142 Ratings & 950 Reviews",ASUS,12142,950
Lenovo IdeaPad Pro 5 2.8K OLED AI PC Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home) 14IMH9...,146890.0,99900.0,31,4.3,142 Ratings & 18 Reviews,Lenovo,142,18
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,49990.0,31990.0,36,4.3,31 Ratings & 5 Reviews,Acer,31,5
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,82789.0,59990.0,27,4.5,"5,499 Ratings & 480 Reviews",SAMSUNG,5499,480
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,124790.0,87990.0,29,4.5,847 Ratings & 63 Reviews,Lenovo,847,63
Thomson NEO Core Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin...,59990.0,32990.0,45,4.1,142 Ratings & 58 Reviews,Thomson,142,58
HP 250R G9 Intel Core i3 13th Gen i3-1315U up to 4.5 GHz with Intel Turbo Boost - (16 GB/512 GB SSD/Wi...,54999.0,33890.0,38,4.0,26 Ratings & 4 Reviews,HP,26,4
Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA07RIH ...,92014.0,42990.0,53,3.9,92 Ratings & 11 Reviews,Lenovo,92,11
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1212IN...,52990.0,42990.0,18,4.4,193 Ratings & 21 Reviews,MSI,193,21
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,32999.0,15990.0,51,3.9,397 Ratings & 60 Reviews,Acer,397,60
"DELL Wyse 5470 Intel Celeron Quad Core Processor Base Frequency 1.10 GHz, Burst Frequency 2.40 GHz - (...",49990.0,21990.0,56,4.3,10 Ratings & 1 Reviews,DELL,10,1
HP 15 G9 (2025) AMD Ryzen 3 Dual Core 3250U - (16 GB/512 GB SSD/Windows 11 Pro) 15 G9 Thin and Light L...,52990.0,28070.0,47,4.3,11 Ratings & 0 Reviews,HP,11,0
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,34990.0,15990.0,54,3.7,"1,346 Ratings & 160 Reviews",CHUWI,1346,160
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,50990.0,36990.0,27,4.2,"2,162 Ratings & 143 Reviews",ASUS,2162,143
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A324-45 Thin and Light...,29999.0,21490.0,28,4.0,933 Ratings & 89 Reviews,Acer,933,89
MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO Busines...,47990.0,30990.0,35,4.3,109 Ratings & 14 Reviews,MSI,109,14
ASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK321WS Th...,50990.0,29990.0,41,4.3,"1,448 Ratings & 140 Reviews",ASUS,1448,140
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,111990.0,87990.0,21,4.5,94 Ratings & 6 Reviews,ASUS,94,6
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,68000.0,46990.0,30,4.3,485 Ratings & 30 Reviews,Acer,485,30
